h,model,variant,thr,auc,n,net_bps,se,t
60,gb,REAL,0.5,0.5200360605402299,3961,-8.772903447362918,0.03974830631409141,-220.71137768838173
60,gb,REAL,0.4,0.5200360605402299,2096,-8.511976269080908,0.3223802153056765,-26.403531807961503
60,gb,REAL,0.3,0.5200360605402299,421,-8.068645973469135,0.5224948389766221,-15.442537172755019
60,gb,PLACEBO-shuffle,0.5,0.501003954302093,3961,-9.337337514022664,0.20507681944692432,-45.530926114441954
60,gb,PLACEBO-shuffle,0.4,0.501003954302093,0,,,
60,gb,PLACEBO-shuffle,0.3,0.501003954302093,0,,,
60,gb,PLACEBO-flip,0.5,0.521605455048624,3961,-8.721382468068713,0.16199031695537391,-53.838912300365045
60,gb,PLACEBO-flip,0.4,0.521605455048624,2201,-8.300046045397119,0.5761420625905994,-14.406249056137819
60,gb,PLACEBO-flip,0.3,0.521605455048624,452,-8.310923261072457,0.9476643212376608,-8.769902036850235
60,lr,REAL,0.5,0.530563174264193,3961,-8.526661079708159,0.14093220202238652,-60.501865133376214
60,lr,REAL,0.4,0.530563174264193,1521,-8.06233848652955,0.21063818443981075,-38.27576898258606
60,lr,REAL,0.3,0.530563174264193,174,-10.26704201480371,0.20495711850170506,-50.093610262764784
60,lr,PLACEBO-shuffle,0.5,0.49896800324527557,3961,-9.487050761990192,0.17809094776023807,-53.27081966435771
60,lr,PLACEBO-shuffle,0.4,0.49896800324527557,30,-14.236122317642442,30.81180533041555,-0.46203467031480316
60,lr,PLACEBO-shuffle,0.3,0.49896800324527557,6,-5.989685969086364,21.063342960188358,-0.28436540108602026
60,lr,PLACEBO-flip,0.5,0.530563174264193,3961,-8.526661079708159,0.14093220202238652,-60.501865133376214
60,lr,PLACEBO-flip,0.4,0.530563174264193,1521,-8.06233848652955,0.21063818443981075,-38.27576898258606
60,lr,PLACEBO-flip,0.3,0.530563174264193,174,-10.26704201480371,0.20495711850170506,-50.093610262764784
300,gb,REAL,0.5,0.5019106605025963,792,-8.729106739910414,0.41765039995296066,-20.9005109079114
300,gb,REAL,0.4,0.5019106605025963,606,-9.480851499965535,0.17589909780208549,-53.899375371629276
300,gb,REAL,0.3,0.5019106605025963,339,-9.15327979471449,2.380837378591238,-3.8445632099957048
300,gb,PLACEBO-shuffle,0.5,0.49193954957029995,792,-9.815362613637166,0.5074459293809265,-19.342676816053498
300,gb,PLACEBO-shuffle,0.4,0.49193954957029995,0,,,
300,gb,PLACEBO-shuffle,0.3,0.49193954957029995,0,,,
300,gb,PLACEBO-flip,0.5,0.5000477504456105,792,-8.66737466457043,0.8201452644107007,-10.568096946579582
300,gb,PLACEBO-flip,0.4,0.5000477504456105,616,-10.038989199726883,0.7573361209083054,-13.255658778940449
300,gb,PLACEBO-flip,0.3,0.5000477504456105,338,-9.737070270841839,2.0241331975828287,-4.8104888959232595
300,lr,REAL,0.5,0.4939707923846184,792,-9.79194293756064,1.3792582513079978,-7.09942675947351
300,lr,REAL,0.4,0.4939707923846184,436,-9.352709831154543,1.6408631267954876,-5.699872023707336
300,lr,REAL,0.3,0.4939707923846184,96,-3.975809048877146,0.4505776566418071,-8.823804266081861
300,lr,PLACEBO-shuffle,0.5,0.49372319771289425,792,-9.138452516830245,0.6032758617754672,-15.148049335067675
300,lr,PLACEBO-shuffle,0.4,0.49372319771289425,36,-11.847046341708483,11.23082416263668,-1.0548688297624573
300,lr,PLACEBO-shuffle,0.3,0.49372319771289425,4,-53.38751525874807,20.911121283610317,-2.5530680318224754
300,lr,PLACEBO-flip,0.5,0.4939707921715877,792,-9.79194293756064,1.3792582513079978,-7.09942675947351
300,lr,PLACEBO-flip,0.4,0.4939707921715877,436,-9.352709831154543,1.6408631267954876,-5.699872023707336
300,lr,PLACEBO-flip,0.3,0.4939707921715877,96,-3.975809048877146,0.4505776566418071,-8.823804266081861
