lab,v,cost_usd_day,presence,aug_pool_reward,net_with_aug,breakeven_pool_per_coin
join/static,0.015,4499.5,0.083,767.5,-3732.0,17376.0
join/static,0.045,4499.5,0.083,709.6,-3789.9,12416.0
join/cancel,0.015,1370.3,0.128,1175.2,-195.1,3456.0
join/cancel,0.045,1370.3,0.128,1086.4,-283.9,2470.0
behind/static,0.015,4658.8,0.059,540.6,-4118.2,25545.0
behind/static,0.045,4658.8,0.059,499.7,-4159.1,18253.0
behind/cancel,0.015,1617.5,0.074,682.8,-934.7,7022.0
behind/cancel,0.045,1617.5,0.074,631.2,-986.3,5018.0
improve/static,0.015,4341.3,0.06,553.0,-3788.3,23269.0
improve/static,0.045,4341.3,0.06,511.2,-3830.1,16627.0
improve/cancel,0.015,1404.7,0.074,684.2,-720.5,6086.0
improve/cancel,0.045,1404.7,0.074,632.5,-772.2,4349.0
edge05/static,0.015,5511.1,0.137,1911.6,-3599.5,6170.0
edge05/static,0.045,5511.1,0.137,1466.1,-4045.0,6792.0
edge05/cancel,0.015,2252.4,0.217,3029.6,777.2,1591.0
edge05/cancel,0.045,2252.4,0.217,2323.6,71.2,1752.0
edge15/static,0.015,5358.9,0.084,135.6,-5223.3,78135.0
edge15/static,0.045,5358.9,0.084,825.8,-4533.1,11193.0
edge15/cancel,0.015,2136.0,0.123,199.8,-1936.2,21137.0
edge15/cancel,0.045,2136.0,0.123,1216.8,-919.2,3028.0
join/static 40-60,0.015,2890.2,0.035,324.4,-2565.8,26404.0
join/static 40-60,0.045,2890.2,0.035,299.9,-2590.3,18867.0
join/cancel 40-60,0.015,987.6,0.046,421.1,-566.5,6951.0
join/cancel 40-60,0.045,987.6,0.046,389.3,-598.3,4967.0
edge15/static 40-60,0.015,3728.5,0.032,52.5,-3676.0,140381.0
edge15/static 40-60,0.045,3728.5,0.032,319.8,-3408.7,20111.0
edge15/cancel 40-60,0.015,1326.4,0.039,64.0,-1262.4,41009.0
edge15/cancel 40-60,0.045,1326.4,0.039,389.4,-937.0,5875.0
behind/static 40-60,0.015,3208.6,0.022,205.6,-3003.0,46249.0
behind/static 40-60,0.045,3208.6,0.022,190.1,-3018.5,33048.0
behind/cancel 40-60,0.015,1088.8,0.023,207.3,-881.5,15566.0
behind/cancel 40-60,0.045,1088.8,0.023,191.7,-897.1,11123.0
join/cancel size100,0.015,2536.5,0.281,2586.4,49.9,2907.0
join/cancel size100,0.045,2536.5,0.281,2391.1,-145.4,2077.0
edge15/static size100,0.015,9754.1,0.183,295.9,-9458.2,65184.0
edge15/static size100,0.045,9754.1,0.183,1801.8,-7952.3,9338.0
join/cancel first60 (240-300),0.015,521.3,0.094,863.4,342.1,1790.0
join/cancel first60 (240-300),0.045,521.3,0.094,798.2,276.9,1279.0
edge15/static first60 (240-300),0.015,2585.0,0.051,82.9,-2502.1,61678.0
edge15/static first60 (240-300),0.045,2585.0,0.051,504.6,-2080.4,8836.0
join/cancel first60ex4s (240-296),0.015,626.0,0.091,842.5,216.5,2202.0
join/cancel first60ex4s (240-296),0.045,626.0,0.091,778.8,152.8,1574.0
edge15/static first60ex4s (240-296),0.015,2054.0,0.052,84.5,-1969.5,48093.0
edge15/static first60ex4s (240-296),0.045,2054.0,0.052,514.2,-1539.8,6890.0
join/cancel min2 (180-240),0.015,888.1,0.074,678.8,-209.3,3878.0
join/cancel min2 (180-240),0.045,888.1,0.074,627.5,-260.6,2771.0
edge15/static min2 (180-240),0.015,2553.4,0.045,73.2,-2480.2,68995.0
edge15/static min2 (180-240),0.045,2553.4,0.045,445.6,-2107.8,9884.0
join/cancel mid (120-180),0.015,755.4,0.042,383.3,-372.1,5841.0
join/cancel mid (120-180),0.045,755.4,0.042,354.4,-401.0,4174.0
edge15/static mid (120-180),0.015,2674.3,0.028,45.7,-2628.6,115663.0
edge15/static mid (120-180),0.045,2674.3,0.028,278.4,-2395.9,16570.0
join/cancel late (40-120),0.015,776.2,0.019,178.3,-597.9,12907.0
join/cancel late (40-120),0.045,776.2,0.019,164.8,-611.4,9223.0
edge15/static late (40-120),0.015,3440.9,0.016,25.7,-3415.2,265192.0
edge15/static late (40-120),0.045,3440.9,0.016,156.2,-3284.7,37991.0
join/cancel RAND-side,0.015,968.3,0.064,588.2,-380.1,4879.0
join/cancel RAND-side,0.045,968.3,0.064,543.8,-424.5,3486.0
join/cancel U-only,0.015,700.4,0.064,587.1,-113.3,3536.0
join/cancel U-only,0.045,700.4,0.064,542.7,-157.7,2527.0
edge15/static RAND-side,0.015,2914.3,0.042,68.8,-2845.5,83753.0
edge15/static RAND-side,0.045,2914.3,0.042,419.0,-2495.3,11998.0
join/cancel MAXFILL99,0.015,5843.4,0.176,1624.3,-4219.1,10663.0
join/cancel MAXFILL99,0.045,5843.4,0.176,1501.6,-4341.8,7619.0
edge15/static MAXFILL99,0.015,15337.0,0.112,182.2,-15154.8,166487.0
edge15/static MAXFILL99,0.045,15337.0,0.112,1109.2,-14227.8,23850.0
improve3/cancel (spread>=3c),0.015,1343.7,0.054,496.9,-846.8,8016.0
improve3/cancel (spread>=3c),0.045,1343.7,0.054,459.3,-884.4,5728.0
join/static H3,0.015,2831.1,0.104,958.3,-1872.8,8756.0
join/static H3,0.045,2831.1,0.104,885.9,-1945.2,6257.0
join/static H30,0.015,6289.0,0.066,608.6,-5680.4,30630.0
