coin,v,place,samples,our_w,field_q,share,share_med,pct_zero
btc,0.015,join,4351,19.72,32.8,0.5258,0.3846,0.068
btc,0.015,edge05,4351,18.64,32.8,0.5698,0.4119,0.0
btc,0.015,edge15,4351,0.0,32.8,0.0511,0.0,0.783
btc,0.045,join,4351,36.82,183.7,0.2681,0.1862,0.025
btc,0.045,edge05,4351,37.06,183.7,0.2901,0.189,0.0
btc,0.045,edge15,4351,21.43,183.7,0.2262,0.1167,0.0
eth,0.015,join,4416,16.68,0.9,0.813,1.0,0.169
eth,0.015,edge05,4416,17.14,0.9,0.9794,1.0,0.0
eth,0.015,edge15,4416,0.0,0.9,0.1821,0.0,0.797
eth,0.045,join,4416,32.9,8.8,0.8018,1.0,0.086
eth,0.045,edge05,4416,36.27,8.8,0.8868,1.0,0.0
eth,0.045,edge15,4416,20.73,8.8,0.8532,1.0,0.0
sol,0.015,join,4334,11.08,0.3,0.6476,1.0,0.342
sol,0.015,edge05,4334,14.01,0.3,0.989,1.0,0.0
sol,0.015,edge15,4334,0.0,0.3,0.1457,0.0,0.85
sol,0.045,join,4334,27.08,4.2,0.8172,1.0,0.109
sol,0.045,edge05,4334,34.55,4.2,0.9337,1.0,0.0
sol,0.045,edge15,4334,19.27,4.2,0.9086,1.0,0.0
xrp,0.015,join,4368,7.27,0.1,0.4992,0.4545,0.497
xrp,0.015,edge05,4368,12.66,0.1,0.9964,1.0,0.0
xrp,0.015,edge15,4368,0.0,0.1,0.1271,0.0,0.871
xrp,0.045,join,4368,21.84,1.5,0.8011,1.0,0.167
xrp,0.045,edge05,4368,33.8,1.5,0.9739,1.0,0.0
xrp,0.045,edge15,4368,18.66,1.5,0.9625,1.0,0.0
bnb,0.015,join,4277,2.9,0.1,0.2613,0.0,0.734
bnb,0.015,edge05,4277,11.66,0.1,0.9968,1.0,0.0
bnb,0.015,edge15,4277,0.0,0.1,0.1066,0.0,0.892
bnb,0.045,join,4277,14.0,2.3,0.6615,1.0,0.27
bnb,0.045,edge05,4277,33.28,2.3,0.9553,1.0,0.0
bnb,0.045,edge15,4277,18.17,2.3,0.9355,1.0,0.0
doge,0.015,join,4385,2.1,0.1,0.1586,0.0,0.835
doge,0.015,edge05,4385,11.38,0.1,0.9964,1.0,0.0
doge,0.015,edge15,4385,0.0,0.1,0.0988,0.0,0.899
doge,0.045,join,4385,9.53,2.7,0.4991,0.5,0.417
doge,0.045,edge05,4385,33.09,2.7,0.9487,1.0,0.0
doge,0.045,edge15,4385,18.09,2.7,0.9267,1.0,0.0
hype,0.015,join,4421,2.23,0.2,0.2022,0.0,0.787
hype,0.015,edge05,4421,11.33,0.2,0.9915,1.0,0.0
hype,0.015,edge15,4421,0.0,0.2,0.1081,0.0,0.889
hype,0.045,join,4421,11.02,3.8,0.5003,0.5,0.4
hype,0.045,edge05,4421,33.08,3.8,0.9338,1.0,0.0
hype,0.045,edge15,4421,18.06,3.8,0.9078,1.0,0.0
