lab,orders,sh_day,usd_day,c_sh,se,hs,drift,adv,reb,loss_ev,pair,pair_sum,pair_lt1,days_pos,loo_min,ss_band_k,ss_all_k,usd_per_kss,c_per_sh
join/static,10672,67110,-4499.5,-6.705,0.192,1.25,-7.32,-0.9,0.302,5726,0.712,1.0565,0.318,0,-4376.1,2867.7,10702.3,-1.569,-6.705
join/cancel,9451,54237,-1370.3,-2.527,0.22,1.19,-3.06,-0.95,0.305,4829,0.692,1.0264,0.414,0,-1369.7,4390.7,10167.1,-0.312,-2.527
behind/static,12751,65522,-4658.8,-7.11,0.21,2.42,-8.78,-1.01,0.301,6824,0.76,1.0318,0.408,0,-4482.0,2019.7,11258.9,-2.307,-7.11
behind/cancel,11196,46154,-1617.5,-3.505,0.283,2.35,-4.66,-1.49,0.306,5790,0.702,1.0087,0.485,0,-1628.8,2551.0,11177.4,-0.634,-3.505
improve/static,14339,77265,-4341.3,-5.619,0.177,1.33,-5.99,-1.25,0.304,7367,0.902,1.0258,0.433,0,-4079.7,2066.1,7682.8,-2.101,-5.619
improve/cancel,13312,56025,-1404.7,-2.507,0.246,1.64,-2.78,-1.67,0.307,6797,0.845,0.9977,0.521,0,-1367.5,2556.2,5889.9,-0.55,-2.507
edge05/static,14709,82463,-5511.1,-6.683,0.161,0.64,-6.39,-1.2,0.301,7650,0.895,1.0475,0.346,0,-5118.1,4715.1,10148.3,-1.169,-6.683
edge05/cancel,14430,72317,-2252.4,-3.115,0.172,0.65,-2.51,-1.56,0.305,7371,0.902,1.022,0.426,0,-2070.7,7472.7,9186.1,-0.301,-3.115
edge15/static,13963,75317,-5358.9,-7.115,0.183,1.63,-7.88,-1.13,0.301,7375,0.845,1.0449,0.373,0,-5025.7,2880.3,11123.6,-1.861,-7.115
edge15/cancel,13322,60038,-2136.0,-3.558,0.226,1.65,-3.68,-1.83,0.306,6839,0.841,1.0169,0.463,0,-2000.0,4243.9,10544.7,-0.503,-3.558
join/static 40-60,6831,42315,-2890.2,-6.83,0.309,1.48,-7.81,-0.79,0.344,3734,0.615,1.0207,0.389,0,-2851.4,1212.2,4983.8,-2.384,-6.83
join/cancel 40-60,5362,28700,-987.6,-3.441,0.378,1.19,-3.38,-1.59,0.345,2807,0.566,1.0049,0.462,0,-967.1,1573.4,3812.2,-0.628,-3.441
edge15/static 40-60,9731,47385,-3728.5,-7.868,0.298,1.65,-8.19,-1.63,0.343,5239,0.749,1.0163,0.437,0,-3545.7,1115.4,5403.5,-3.343,-7.868
edge15/cancel 40-60,8558,30617,-1326.4,-4.332,0.415,1.65,-4.03,-2.28,0.345,4502,0.693,0.9996,0.519,0,-1279.9,1358.3,4104.8,-0.977,-4.332
behind/static 40-60,8319,40977,-3208.6,-7.83,0.33,2.65,-9.25,-1.54,0.344,4512,0.64,1.0128,0.442,0,-3130.3,768.3,5159.7,-4.176,-7.83
behind/cancel 40-60,6324,23394,-1088.8,-4.654,0.489,2.37,-4.98,-2.37,0.345,3355,0.526,1.0009,0.501,0,-1069.4,774.6,4082.1,-1.406,-4.654
join/cancel size20,9451,25512,-604.3,-2.369,0.212,1.26,-2.88,-1.05,0.304,4829,0.692,1.0293,0.407,0,-603.5,0.0,3719.7,,-2.369
edge15/static size20,13963,34912,-2264.6,-6.487,0.172,1.64,-7.19,-1.23,0.301,7375,0.845,1.0505,0.364,0,-2086.1,0.0,3974.7,,-6.487
join/cancel size100,9451,90515,-2536.5,-2.802,0.225,1.11,-3.18,-1.03,0.305,4829,0.692,1.0224,0.425,0,-2563.2,9663.6,21849.6,-0.262,-2.802
edge15/static size100,13963,127640,-9754.1,-7.642,0.192,1.62,-8.43,-1.07,0.302,7375,0.845,1.04,0.385,0,-9346.3,6284.2,24347.7,-1.552,-7.642
join/cancel first60 (240-300),8231,42566,-521.3,-1.225,0.309,0.93,-2.34,-0.13,0.319,4165,0.574,1.0167,0.421,0,-564.5,3225.9,6313.0,-0.162,-1.225
edge15/static first60 (240-300),12352,51675,-2585.0,-5.003,0.33,1.65,-6.3,-0.67,0.324,6607,0.626,1.031,0.443,0,-2518.1,1760.1,6684.2,-1.469,-5.003
join/cancel first60ex4s (240-296),7832,39370,-626.0,-1.59,0.332,0.82,-2.32,-0.4,0.316,3983,0.547,1.0161,0.428,1,-643.4,3147.7,5843.9,-0.199,-1.59
edge15/static first60ex4s (240-296),11423,45726,-2054.0,-4.492,0.372,1.59,-6.36,-0.05,0.318,6062,0.577,1.0261,0.45,0,-2007.4,1793.6,6257.1,-1.145,-4.492
join/cancel min2 (180-240),6859,34239,-888.1,-2.594,0.342,0.85,-2.69,-1.06,0.305,3546,0.559,1.0238,0.401,0,-890.2,2536.2,4963.9,-0.35,-2.594
edge15/static min2 (180-240),10506,42471,-2553.4,-6.012,0.358,1.6,-7.17,-0.75,0.304,5624,0.614,1.0324,0.415,0,-2494.3,1554.2,5520.2,-1.643,-6.012
join/cancel mid (120-180),5125,26814,-755.4,-2.817,0.4,0.98,-2.98,-1.11,0.302,2640,0.537,1.0278,0.401,0,-816.9,1432.2,3335.7,-0.527,-2.817
edge15/static mid (120-180),9079,37313,-2674.3,-7.167,0.375,1.61,-7.64,-1.44,0.299,4905,0.657,1.0395,0.405,0,-2604.1,971.0,3828.6,-2.754,-7.167
join/cancel late (40-120),4185,23511,-776.2,-3.301,0.406,1.57,-4.16,-0.99,0.3,2176,0.568,1.0289,0.4,0,-801.5,666.0,2190.3,-1.165,-3.301
edge15/static late (40-120),7474,37814,-3440.9,-9.1,0.307,1.66,-9.25,-1.68,0.293,4042,0.751,1.0427,0.429,0,-3224.0,544.9,2761.1,-6.315,-9.1
join/cancel RAND-side,4714,26978,-968.3,-3.589,0.785,1.21,-3.0,-2.1,0.305,2430,0.0,,,0,-1016.5,2197.8,5104.4,-0.441,-3.589
join/cancel U-only,4745,27195,-700.4,-2.575,0.786,1.19,-3.08,-0.99,0.304,2419,0.0,,,0,-719.8,2193.5,5073.1,-0.319,-2.575
edge15/static RAND-side,6964,37544,-2914.3,-7.762,0.664,1.63,-7.9,-1.75,0.3,3684,0.0,,,0,-2780.9,1461.3,5599.7,-1.994,-7.762
join/cancel MAXFILL99,9451,214151,-5843.4,-2.729,0.265,0.87,-2.87,-1.02,0.305,4829,0.692,1.0035,0.495,0,-5855.7,6068.8,12550.0,-0.963,-2.729
edge15/static MAXFILL99,13963,240086,-15337.0,-6.388,0.253,1.59,-6.89,-1.38,0.302,7375,0.845,1.0024,0.508,0,-14971.8,3868.7,14727.9,-3.964,-6.388
improve3/cancel (spread>=3c),12172,44975,-1343.7,-2.988,0.313,2.25,-3.22,-2.33,0.307,6287,0.795,0.989,0.559,0,-1313.6,1856.4,5180.8,-0.724,-2.988
join/static H3,10291,62585,-2831.1,-4.524,0.194,1.22,-5.21,-0.82,0.304,5380,0.711,1.0434,0.347,0,-2776.6,3580.5,10010.7,-0.791,-4.524
join/static H30,10896,70813,-6289.0,-8.881,0.206,1.3,-9.42,-0.91,0.301,6131,0.665,1.0584,0.397,0,-6039.9,2273.8,12185.6,-2.766,-8.881
join/cancel first60,8231,42566,-521.3,-1.225,0.309,0.93,-2.34,-0.13,0.319,4165,0.574,1.0167,0.421,0,-564.5,456.3,6313.0,-1.142,-1.225
improve3/cancel first60,10030,19968,-374.4,-1.875,0.646,1.87,-2.39,-1.68,0.317,5242,0.603,0.9763,0.648,1,-428.5,171.7,2791.3,-2.181,-1.875
join/cancel first60 40-60,4621,23093,-440.2,-1.906,0.495,0.87,-2.46,-0.66,0.345,2405,0.457,1.0075,0.446,1,-452.7,185.3,3050.9,-2.375,-1.906
improve3/cancel first60 40-60,6014,9099,-196.5,-2.16,1.043,1.87,-2.55,-1.83,0.345,3116,0.457,0.988,0.628,0,-237.0,72.3,1374.8,-2.72,-2.16
edge05/cancel first60,14406,54593,-841.1,-1.541,0.275,0.64,-2.01,-0.48,0.319,7315,0.791,1.017,0.441,0,-894.8,680.7,5993.6,-1.236,-1.541
join/cancel LAT0.1,9755,56891,-1307.2,-2.298,0.209,1.22,-2.87,-0.94,0.304,4956,0.705,1.0261,0.415,0,-1317.8,4256.6,9941.9,-0.307,-2.298
join/cancel LAT0.4,8567,46860,-1233.1,-2.631,0.26,1.06,-3.11,-0.89,0.304,4401,0.642,1.0224,0.432,0,-1242.4,4768.2,10783.5,-0.259,-2.631
join/cancel first60 LAT0.4,7341,36289,-429.1,-1.182,0.358,0.86,-2.26,-0.1,0.318,3720,0.517,1.0167,0.428,1,-459.7,493.5,6561.9,-0.869,-1.182
improve3/cancel first60 size20,10030,12357,-205.3,-1.661,0.54,1.99,-2.17,-1.8,0.318,5242,0.603,0.9775,0.645,0,-221.8,0.0,1047.3,,-1.661
